Component_ID,ATA_Code,Part_Number,Component_Name,Title,Language,DAL_Level,Certifiable,Version,Status,Owner,Source_File,Documentation,Test_Suite,Config_File
2460013,ATA-24-60,ATA-24-60-00-SW-013,fc_hil_simulator,Fuel-Cell HIL / Simulator SW,PY,N/A,NO,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-60-00-SW-013_fc_hil_simulator.py,ATA-24-60-00-SWDOC-013_*.md,ATA-24-60-00-SWTEST-013_*/,ATA-24-60-00-SWCFG-013_*.json
2460014,ATA-24-60,ATA-24-60-00-SW-014,data_logger_telemetry,Fuel-Cell Data Logger & Telemetry SW,C,C,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-60-00-SW-014_data_logger_telemetry.c,ATA-24-60-00-SWDOC-014_*.md,ATA-24-60-00-SWTEST-014_*/,ATA-24-60-00-SWCFG-014_*.json
2433009,ATA-24-33,ATA-24-33-00-SW-009,co2_module_control,Solid-CO₂ Module Control SW,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-33-00-SW-009_co2_module_control.c,ATA-24-33-00-SWDOC-009_*.md,ATA-24-33-00-SWTEST-009_*/,ATA-24-33-00-SWCFG-009_*.json
2433010,ATA-24-33,ATA-24-33-00-SW-010,sorbent_health_management,Sorbent Health & Life Management SW,PY,B,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-33-00-SW-010_sorbent_health_management.py,ATA-24-33-00-SWDOC-010_*.md,ATA-24-33-00-SWTEST-010_*/,ATA-24-33-00-SWCFG-010_*.json
2433011,ATA-24-33,ATA-24-33-00-SW-011,co2_storage_compression,CO₂ Storage & Compression Control SW,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-33-00-SW-011_co2_storage_compression.c,ATA-24-33-00-SWDOC-011_*.md,ATA-24-33-00-SWTEST-011_*/,ATA-24-33-00-SWCFG-011_*.json
2433012,ATA-24-33,ATA-24-33-00-SW-012,co2_safety_venting,CO₂ Safety & Venting Controller SW,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-33-00-SW-012_co2_safety_venting.c,ATA-24-33-00-SWDOC-012_*.md,ATA-24-33-00-SWTEST-012_*/,ATA-24-33-00-SWCFG-012_*.json
2433013,ATA-24-33,ATA-24-33-00-SW-013,co2_hil_simulator,CO₂ Lab Simulator / HIL SW,PY,N/A,NO,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-33-00-SW-013_co2_hil_simulator.py,ATA-24-33-00-SWDOC-013_*.md,ATA-24-33-00-SWTEST-013_*/,ATA-24-33-00-SWCFG-013_*.json
2433014,ATA-24-33,ATA-24-33-00-SW-014,dpp_integration,CO₂ Reporting & DPP Integration SW,PY,C,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-33-00-SW-014_dpp_integration.py,ATA-24-33-00-SWDOC-014_*.md,ATA-24-33-00-SWTEST-014_*/,ATA-24-33-00-SWCFG-014_*.json
2434008,ATA-24-34,ATA-24-34-00-SW-008,loop_controller,Endocircular Loop Controller SW,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-34-00-SW-008_loop_controller.c,ATA-24-34-00-SWDOC-008_*.md,ATA-24-34-00-SWTEST-008_*/,ATA-24-34-00-SWCFG-008_*.json
2434009,ATA-24-34,ATA-24-34-00-SW-009,thermal_scheduler,Thermal Energy Scheduler SW,PY,B,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-34-00-SW-009_thermal_scheduler.py,ATA-24-34-00-SWDOC-009_*.md,ATA-24-34-00-SWTEST-009_*/,ATA-24-34-00-SWCFG-009_*.json
2434010,ATA-24-34,ATA-24-34-00-SW-010,recharge_protocol,Recharge Interface Protocol Stack,C,B,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-34-00-SW-010_recharge_protocol.c,ATA-24-34-00-SWDOC-010_*.md,ATA-24-34-00-SWTEST-010_*/,ATA-24-34-00-SWCFG-010_*.json
2434011,ATA-24-34,ATA-24-34-00-SW-011,loop_fdi,Loop Fault Detection & Isolation SW,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-34-00-SW-011_loop_fdi.c,ATA-24-34-00-SWDOC-011_*.md,ATA-24-34-00-SWTEST-011_*/,ATA-24-34-00-SWCFG-011_*.json
2434012,ATA-24-34,ATA-24-34-00-SW-012,loop_hil_automation,Loop HIL & Bench Automation SW,PY,N/A,NO,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-34-00-SW-012_loop_hil_automation.py,ATA-24-34-00-SWDOC-012_*.md,ATA-24-34-00-SWTEST-012_*/,ATA-24-34-00-SWCFG-012_*.json
2434013,ATA-24-34,ATA-24-34-00-SW-013,loop_data_logger,Loop Data Logger & Maintenance SW,C,C,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-34-00-SW-013_loop_data_logger.c,ATA-24-34-00-SWDOC-013_*.md,ATA-24-34-00-SWTEST-013_*/,ATA-24-34-00-SWCFG-013_*.json
2434014,ATA-24-34,ATA-24-34-00-SW-014,ems_integration,Recharge→EMS Integration SW,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-34-00-SW-014_ems_integration.c,ATA-24-34-00-SWDOC-014_*.md,ATA-24-34-00-SWTEST-014_*/,ATA-24-34-00-SWCFG-014_*.json
2445010,ATA-24-45,ATA-24-45-00-SW-010,ewis_monitoring_ecu,EWIS Monitoring ECU Software,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-45-00-SW-010_ewis_monitoring_ecu.c,ATA-24-45-00-SWDOC-010_*.md,ATA-24-45-00-SWTEST-010_*/,ATA-24-45-00-SWCFG-010_*.json
2445011,ATA-24-45,ATA-24-45-00-SW-011,sensor_node_firmware,EWIS Sensor Node Firmware,C,B,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-45-00-SW-011_sensor_node_firmware.c,ATA-24-45-00-SWDOC-011_*.md,ATA-24-45-00-SWTEST-011_*/,ATA-24-45-00-SWCFG-011_*.json
2445012,ATA-24-45,ATA-24-45-00-SW-012,ewis_gateway,EWIS Gateway Protocol Stack,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-45-00-SW-012_ewis_gateway.c,ATA-24-45-00-SWDOC-012_*.md,ATA-24-45-00-SWTEST-012_*/,ATA-24-45-00-SWCFG-012_*.json
2445013,ATA-24-45,ATA-24-45-00-SW-013,ewis_analytics,EWIS Analytics & Trending Platform,PY,C,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-45-00-SW-013_ewis_analytics.py,ATA-24-45-00-SWDOC-013_*.md,ATA-24-45-00-SWTEST-013_*/,ATA-24-45-00-SWCFG-013_*.json
2445014,ATA-24-45,ATA-24-45-00-SW-014,maintenance_tools,EWIS Maintenance & Test Tools SW,PY,N/A,NO,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-45-00-SW-014_maintenance_tools.py,ATA-24-45-00-SWDOC-014_*.md,ATA-24-45-00-SWTEST-014_*/,ATA-24-45-00-SWCFG-014_*.json
2445015,ATA-24-45,ATA-24-45-00-SW-015,fault_injection_hil,EWIS Fault Injection & HIL Tools,PY,N/A,NO,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-45-00-SW-015_fault_injection_hil.py,ATA-24-45-00-SWDOC-015_*.md,ATA-24-45-00-SWTEST-015_*/,ATA-24-45-00-SWCFG-015_*.json
2445016,ATA-24-45,ATA-24-45-00-SW-016,cybersecurity_module,EWIS Cybersecurity & Secure Boot Module,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-45-00-SW-016_cybersecurity_module.c,ATA-24-45-00-SWDOC-016_*.md,ATA-24-45-00-SWTEST-016_*/,ATA-24-45-00-SWCFG-016_*.json
2445017,ATA-24-45,ATA-24-45-00-SW-017,update_manager,EWIS Update & Patch Manager,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-45-00-SW-017_update_manager.c,ATA-24-45-00-SWDOC-017_*.md,ATA-24-45-00-SWTEST-017_*/,ATA-24-45-00-SWCFG-017_*.json
2499008,ATA-24-99,ATA-24-99-00-SW-008,system_health_prognostics,System Health & Prognostics SW,PY,B,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-99-00-SW-008_system_health_prognostics.py,ATA-24-99-00-SWDOC-008_*.md,ATA-24-99-00-SWTEST-008_*/,ATA-24-99-00-SWCFG-008_*.json
2499009,ATA-24-99,ATA-24-99-00-SW-009,key_management,Cybersecurity & Key Management SW,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-99-00-SW-009_key_management.c,ATA-24-99-00-SWDOC-009_*.md,ATA-24-99-00-SWTEST-009_*/,ATA-24-99-00-SWCFG-009_*.json
2499010,ATA-24-99,ATA-24-99-00-SW-010,hil_orchestrator,HIL Orchestrator / Test Automation SW,PY,N/A,NO,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-99-00-SW-010_hil_orchestrator.py,ATA-24-99-00-SWDOC-010_*.md,ATA-24-99-00-SWTEST-010_*/,ATA-24-99-00-SWCFG-010_*.json
2499011,ATA-24-99,ATA-24-99-00-SW-011,compliance_tools,Compliance & Traceability Tooling,PY,N/A,NO,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-99-00-SW-011_compliance_tools.py,ATA-24-99-00-SWDOC-011_*.md,ATA-24-99-00-SWTEST-011_*/,ATA-24-99-00-SWCFG-011_*.json
2499012,ATA-24-99,ATA-24-99-00-SW-012,integration_middleware,Integration Middleware,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-99-00-SW-012_integration_middleware.c,ATA-24-99-00-SWDOC-012_*.md,ATA-24-99-00-SWTEST-012_*/,ATA-24-99-00-SWCFG-012_*.json
