System_Requirement_ID,Software_Requirement_ID,Component_ID,Component_Name,Function,Design_Reference,Code_Reference,Test_Case_ID,Verification_Method,Status,Notes
SYS-REQ-2400013-002,FR-24-00-013-002,2400013,protections_relay_logic,Function_2,ATA-24-00-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-013_protections_relay_logic.c,TEST-013-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2400013-003,FR-24-00-013-003,2400013,protections_relay_logic,Function_3,ATA-24-00-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-013_protections_relay_logic.c,TEST-013-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2400014-001,FR-24-00-014-001,2400014,power_quality_monitoring,Function_1,ATA-24-00-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-014_power_quality_monitoring.c,TEST-014-001,Test + Review,Planned,DAL-C requirement
SYS-REQ-2400014-002,FR-24-00-014-002,2400014,power_quality_monitoring,Function_2,ATA-24-00-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-014_power_quality_monitoring.c,TEST-014-002,Test + Review,Planned,DAL-C requirement
SYS-REQ-2400014-003,FR-24-00-014-003,2400014,power_quality_monitoring,Function_3,ATA-24-00-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-014_power_quality_monitoring.c,TEST-014-003,Test + Review,Planned,DAL-C requirement
SYS-REQ-2400015-001,FR-24-00-015-001,2400015,ground_service_tools,Function_1,ATA-24-00-00-SWDOC-015_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-015_ground_service_tools.py,TEST-015-001,Review,Planned,DAL-N/A requirement
SYS-REQ-2400015-002,FR-24-00-015-002,2400015,ground_service_tools,Function_2,ATA-24-00-00-SWDOC-015_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-015_ground_service_tools.py,TEST-015-002,Review,Planned,DAL-N/A requirement
SYS-REQ-2400015-003,FR-24-00-015-003,2400015,ground_service_tools,Function_3,ATA-24-00-00-SWDOC-015_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-015_ground_service_tools.py,TEST-015-003,Review,Planned,DAL-N/A requirement
SYS-REQ-2460009-001,FR-24-60-009-001,2460009,fuel_cell_stack_control,Function_1,ATA-24-60-00-SWDOC-009_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-009_fuel_cell_stack_control.c,TEST-009-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2460009-002,FR-24-60-009-002,2460009,fuel_cell_stack_control,Function_2,ATA-24-60-00-SWDOC-009_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-009_fuel_cell_stack_control.c,TEST-009-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2460009-003,FR-24-60-009-003,2460009,fuel_cell_stack_control,Function_3,ATA-24-60-00-SWDOC-009_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-009_fuel_cell_stack_control.c,TEST-009-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2460010-001,FR-24-60-010-001,2460010,power_conditioning_unit,Function_1,ATA-24-60-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-010_power_conditioning_unit.c,TEST-010-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2460010-002,FR-24-60-010-002,2460010,power_conditioning_unit,Function_2,ATA-24-60-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-010_power_conditioning_unit.c,TEST-010-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2460010-003,FR-24-60-010-003,2460010,power_conditioning_unit,Function_3,ATA-24-60-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-010_power_conditioning_unit.c,TEST-010-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2460011-001,FR-24-60-011-001,2460011,bop_diagnostics,Function_1,ATA-24-60-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-011_bop_diagnostics.py,TEST-011-001,Test + Review,Planned,DAL-B requirement
SYS-REQ-2460011-002,FR-24-60-011-002,2460011,bop_diagnostics,Function_2,ATA-24-60-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-011_bop_diagnostics.py,TEST-011-002,Test + Review,Planned,DAL-B requirement
SYS-REQ-2460011-003,FR-24-60-011-003,2460011,bop_diagnostics,Function_3,ATA-24-60-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-011_bop_diagnostics.py,TEST-011-003,Test + Review,Planned,DAL-B requirement
SYS-REQ-2460012-001,FR-24-60-012-001,2460012,h2_safety_management,Function_1,ATA-24-60-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-012_h2_safety_management.c,TEST-012-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2460012-002,FR-24-60-012-002,2460012,h2_safety_management,Function_2,ATA-24-60-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-012_h2_safety_management.c,TEST-012-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2460012-003,FR-24-60-012-003,2460012,h2_safety_management,Function_3,ATA-24-60-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-012_h2_safety_management.c,TEST-012-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2460013-001,FR-24-60-013-001,2460013,fc_hil_simulator,Function_1,ATA-24-60-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-013_fc_hil_simulator.py,TEST-013-001,Review,Planned,DAL-N/A requirement
SYS-REQ-2460013-002,FR-24-60-013-002,2460013,fc_hil_simulator,Function_2,ATA-24-60-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-013_fc_hil_simulator.py,TEST-013-002,Review,Planned,DAL-N/A requirement
SYS-REQ-2460013-003,FR-24-60-013-003,2460013,fc_hil_simulator,Function_3,ATA-24-60-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-013_fc_hil_simulator.py,TEST-013-003,Review,Planned,DAL-N/A requirement
SYS-REQ-2460014-001,FR-24-60-014-001,2460014,data_logger_telemetry,Function_1,ATA-24-60-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-014_data_logger_telemetry.c,TEST-014-001,Test + Review,Planned,DAL-C requirement
SYS-REQ-2460014-002,FR-24-60-014-002,2460014,data_logger_telemetry,Function_2,ATA-24-60-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-014_data_logger_telemetry.c,TEST-014-002,Test + Review,Planned,DAL-C requirement
SYS-REQ-2460014-003,FR-24-60-014-003,2460014,data_logger_telemetry,Function_3,ATA-24-60-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-60-00-SW-014_data_logger_telemetry.c,TEST-014-003,Test + Review,Planned,DAL-C requirement
SYS-REQ-2433009-001,FR-24-33-009-001,2433009,co2_module_control,Function_1,ATA-24-33-00-SWDOC-009_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-009_co2_module_control.c,TEST-009-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2433009-002,FR-24-33-009-002,2433009,co2_module_control,Function_2,ATA-24-33-00-SWDOC-009_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-009_co2_module_control.c,TEST-009-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2433009-003,FR-24-33-009-003,2433009,co2_module_control,Function_3,ATA-24-33-00-SWDOC-009_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-009_co2_module_control.c,TEST-009-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2433010-001,FR-24-33-010-001,2433010,sorbent_health_management,Function_1,ATA-24-33-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-010_sorbent_health_management.py,TEST-010-001,Test + Review,Planned,DAL-B requirement
SYS-REQ-2433010-002,FR-24-33-010-002,2433010,sorbent_health_management,Function_2,ATA-24-33-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-010_sorbent_health_management.py,TEST-010-002,Test + Review,Planned,DAL-B requirement
SYS-REQ-2433010-003,FR-24-33-010-003,2433010,sorbent_health_management,Function_3,ATA-24-33-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-010_sorbent_health_management.py,TEST-010-003,Test + Review,Planned,DAL-B requirement
SYS-REQ-2433011-001,FR-24-33-011-001,2433011,co2_storage_compression,Function_1,ATA-24-33-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-011_co2_storage_compression.c,TEST-011-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2433011-002,FR-24-33-011-002,2433011,co2_storage_compression,Function_2,ATA-24-33-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-011_co2_storage_compression.c,TEST-011-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2433011-003,FR-24-33-011-003,2433011,co2_storage_compression,Function_3,ATA-24-33-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-011_co2_storage_compression.c,TEST-011-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2433012-001,FR-24-33-012-001,2433012,co2_safety_venting,Function_1,ATA-24-33-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-012_co2_safety_venting.c,TEST-012-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2433012-002,FR-24-33-012-002,2433012,co2_safety_venting,Function_2,ATA-24-33-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-012_co2_safety_venting.c,TEST-012-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2433012-003,FR-24-33-012-003,2433012,co2_safety_venting,Function_3,ATA-24-33-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-012_co2_safety_venting.c,TEST-012-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2433013-001,FR-24-33-013-001,2433013,co2_hil_simulator,Function_1,ATA-24-33-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-013_co2_hil_simulator.py,TEST-013-001,Review,Planned,DAL-N/A requirement
SYS-REQ-2433013-002,FR-24-33-013-002,2433013,co2_hil_simulator,Function_2,ATA-24-33-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-013_co2_hil_simulator.py,TEST-013-002,Review,Planned,DAL-N/A requirement
SYS-REQ-2433013-003,FR-24-33-013-003,2433013,co2_hil_simulator,Function_3,ATA-24-33-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-013_co2_hil_simulator.py,TEST-013-003,Review,Planned,DAL-N/A requirement
SYS-REQ-2433014-001,FR-24-33-014-001,2433014,dpp_integration,Function_1,ATA-24-33-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-014_dpp_integration.py,TEST-014-001,Test + Review,Planned,DAL-C requirement
SYS-REQ-2433014-002,FR-24-33-014-002,2433014,dpp_integration,Function_2,ATA-24-33-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-014_dpp_integration.py,TEST-014-002,Test + Review,Planned,DAL-C requirement
SYS-REQ-2433014-003,FR-24-33-014-003,2433014,dpp_integration,Function_3,ATA-24-33-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-33-00-SW-014_dpp_integration.py,TEST-014-003,Test + Review,Planned,DAL-C requirement
SYS-REQ-2434008-001,FR-24-34-008-001,2434008,loop_controller,Function_1,ATA-24-34-00-SWDOC-008_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-008_loop_controller.c,TEST-008-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2434008-002,FR-24-34-008-002,2434008,loop_controller,Function_2,ATA-24-34-00-SWDOC-008_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-008_loop_controller.c,TEST-008-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2434008-003,FR-24-34-008-003,2434008,loop_controller,Function_3,ATA-24-34-00-SWDOC-008_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-008_loop_controller.c,TEST-008-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2434009-001,FR-24-34-009-001,2434009,thermal_scheduler,Function_1,ATA-24-34-00-SWDOC-009_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-009_thermal_scheduler.py,TEST-009-001,Test + Review,Planned,DAL-B requirement
SYS-REQ-2434009-002,FR-24-34-009-002,2434009,thermal_scheduler,Function_2,ATA-24-34-00-SWDOC-009_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-009_thermal_scheduler.py,TEST-009-002,Test + Review,Planned,DAL-B requirement
SYS-REQ-2434009-003,FR-24-34-009-003,2434009,thermal_scheduler,Function_3,ATA-24-34-00-SWDOC-009_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-009_thermal_scheduler.py,TEST-009-003,Test + Review,Planned,DAL-B requirement
SYS-REQ-2434010-001,FR-24-34-010-001,2434010,recharge_protocol,Function_1,ATA-24-34-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-010_recharge_protocol.c,TEST-010-001,Test + Review,Planned,DAL-B requirement
SYS-REQ-2434010-002,FR-24-34-010-002,2434010,recharge_protocol,Function_2,ATA-24-34-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-010_recharge_protocol.c,TEST-010-002,Test + Review,Planned,DAL-B requirement
SYS-REQ-2434010-003,FR-24-34-010-003,2434010,recharge_protocol,Function_3,ATA-24-34-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-010_recharge_protocol.c,TEST-010-003,Test + Review,Planned,DAL-B requirement
SYS-REQ-2434011-001,FR-24-34-011-001,2434011,loop_fdi,Function_1,ATA-24-34-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-011_loop_fdi.c,TEST-011-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2434011-002,FR-24-34-011-002,2434011,loop_fdi,Function_2,ATA-24-34-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-011_loop_fdi.c,TEST-011-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2434011-003,FR-24-34-011-003,2434011,loop_fdi,Function_3,ATA-24-34-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-011_loop_fdi.c,TEST-011-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2434012-001,FR-24-34-012-001,2434012,loop_hil_automation,Function_1,ATA-24-34-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-012_loop_hil_automation.py,TEST-012-001,Review,Planned,DAL-N/A requirement
SYS-REQ-2434012-002,FR-24-34-012-002,2434012,loop_hil_automation,Function_2,ATA-24-34-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-012_loop_hil_automation.py,TEST-012-002,Review,Planned,DAL-N/A requirement
SYS-REQ-2434012-003,FR-24-34-012-003,2434012,loop_hil_automation,Function_3,ATA-24-34-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-012_loop_hil_automation.py,TEST-012-003,Review,Planned,DAL-N/A requirement
SYS-REQ-2434013-001,FR-24-34-013-001,2434013,loop_data_logger,Function_1,ATA-24-34-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-013_loop_data_logger.c,TEST-013-001,Test + Review,Planned,DAL-C requirement
SYS-REQ-2434013-002,FR-24-34-013-002,2434013,loop_data_logger,Function_2,ATA-24-34-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-013_loop_data_logger.c,TEST-013-002,Test + Review,Planned,DAL-C requirement
SYS-REQ-2434013-003,FR-24-34-013-003,2434013,loop_data_logger,Function_3,ATA-24-34-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-013_loop_data_logger.c,TEST-013-003,Test + Review,Planned,DAL-C requirement
SYS-REQ-2434014-001,FR-24-34-014-001,2434014,ems_integration,Function_1,ATA-24-34-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-014_ems_integration.c,TEST-014-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2434014-002,FR-24-34-014-002,2434014,ems_integration,Function_2,ATA-24-34-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-014_ems_integration.c,TEST-014-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2434014-003,FR-24-34-014-003,2434014,ems_integration,Function_3,ATA-24-34-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-34-00-SW-014_ems_integration.c,TEST-014-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2445010-001,FR-24-45-010-001,2445010,ewis_monitoring_ecu,Function_1,ATA-24-45-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-010_ewis_monitoring_ecu.c,TEST-010-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2445010-002,FR-24-45-010-002,2445010,ewis_monitoring_ecu,Function_2,ATA-24-45-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-010_ewis_monitoring_ecu.c,TEST-010-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2445010-003,FR-24-45-010-003,2445010,ewis_monitoring_ecu,Function_3,ATA-24-45-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-010_ewis_monitoring_ecu.c,TEST-010-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2445011-001,FR-24-45-011-001,2445011,sensor_node_firmware,Function_1,ATA-24-45-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-011_sensor_node_firmware.c,TEST-011-001,Test + Review,Planned,DAL-B requirement
SYS-REQ-2445011-002,FR-24-45-011-002,2445011,sensor_node_firmware,Function_2,ATA-24-45-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-011_sensor_node_firmware.c,TEST-011-002,Test + Review,Planned,DAL-B requirement
SYS-REQ-2445011-003,FR-24-45-011-003,2445011,sensor_node_firmware,Function_3,ATA-24-45-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-011_sensor_node_firmware.c,TEST-011-003,Test + Review,Planned,DAL-B requirement
SYS-REQ-2445012-001,FR-24-45-012-001,2445012,ewis_gateway,Function_1,ATA-24-45-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-012_ewis_gateway.c,TEST-012-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2445012-002,FR-24-45-012-002,2445012,ewis_gateway,Function_2,ATA-24-45-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-012_ewis_gateway.c,TEST-012-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2445012-003,FR-24-45-012-003,2445012,ewis_gateway,Function_3,ATA-24-45-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-012_ewis_gateway.c,TEST-012-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2445013-001,FR-24-45-013-001,2445013,ewis_analytics,Function_1,ATA-24-45-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-013_ewis_analytics.py,TEST-013-001,Test + Review,Planned,DAL-C requirement
SYS-REQ-2445013-002,FR-24-45-013-002,2445013,ewis_analytics,Function_2,ATA-24-45-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-013_ewis_analytics.py,TEST-013-002,Test + Review,Planned,DAL-C requirement
SYS-REQ-2445013-003,FR-24-45-013-003,2445013,ewis_analytics,Function_3,ATA-24-45-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-013_ewis_analytics.py,TEST-013-003,Test + Review,Planned,DAL-C requirement
SYS-REQ-2445014-001,FR-24-45-014-001,2445014,maintenance_tools,Function_1,ATA-24-45-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-014_maintenance_tools.py,TEST-014-001,Review,Planned,DAL-N/A requirement
SYS-REQ-2445014-002,FR-24-45-014-002,2445014,maintenance_tools,Function_2,ATA-24-45-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-014_maintenance_tools.py,TEST-014-002,Review,Planned,DAL-N/A requirement
SYS-REQ-2445014-003,FR-24-45-014-003,2445014,maintenance_tools,Function_3,ATA-24-45-00-SWDOC-014_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-014_maintenance_tools.py,TEST-014-003,Review,Planned,DAL-N/A requirement
SYS-REQ-2445015-001,FR-24-45-015-001,2445015,fault_injection_hil,Function_1,ATA-24-45-00-SWDOC-015_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-015_fault_injection_hil.py,TEST-015-001,Review,Planned,DAL-N/A requirement
SYS-REQ-2445015-002,FR-24-45-015-002,2445015,fault_injection_hil,Function_2,ATA-24-45-00-SWDOC-015_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-015_fault_injection_hil.py,TEST-015-002,Review,Planned,DAL-N/A requirement
SYS-REQ-2445015-003,FR-24-45-015-003,2445015,fault_injection_hil,Function_3,ATA-24-45-00-SWDOC-015_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-015_fault_injection_hil.py,TEST-015-003,Review,Planned,DAL-N/A requirement
SYS-REQ-2445016-001,FR-24-45-016-001,2445016,cybersecurity_module,Function_1,ATA-24-45-00-SWDOC-016_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-016_cybersecurity_module.c,TEST-016-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2445016-002,FR-24-45-016-002,2445016,cybersecurity_module,Function_2,ATA-24-45-00-SWDOC-016_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-016_cybersecurity_module.c,TEST-016-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2445016-003,FR-24-45-016-003,2445016,cybersecurity_module,Function_3,ATA-24-45-00-SWDOC-016_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-016_cybersecurity_module.c,TEST-016-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2445017-001,FR-24-45-017-001,2445017,update_manager,Function_1,ATA-24-45-00-SWDOC-017_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-017_update_manager.c,TEST-017-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2445017-002,FR-24-45-017-002,2445017,update_manager,Function_2,ATA-24-45-00-SWDOC-017_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-017_update_manager.c,TEST-017-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2445017-003,FR-24-45-017-003,2445017,update_manager,Function_3,ATA-24-45-00-SWDOC-017_DESIGN_DESCRIPTION.md,ATA-24-45-00-SW-017_update_manager.c,TEST-017-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2499008-001,FR-24-99-008-001,2499008,system_health_prognostics,Function_1,ATA-24-99-00-SWDOC-008_DESIGN_DESCRIPTION.md,ATA-24-99-00-SW-008_system_health_prognostics.py,TEST-008-001,Test + Review,Planned,DAL-B requirement
SYS-REQ-2499008-002,FR-24-99-008-002,2499008,system_health_prognostics,Function_2,ATA-24-99-00-SWDOC-008_DESIGN_DESCRIPTION.md,ATA-24-99-00-SW-008_system_health_prognostics.py,TEST-008-002,Test + Review,Planned,DAL-B requirement
SYS-REQ-2499008-003,FR-24-99-008-003,2499008,system_health_prognostics,Function_3,ATA-24-99-00-SWDOC-008_DESIGN_DESCRIPTION.md,ATA-24-99-00-SW-008_system_health_prognostics.py,TEST-008-003,Test + Review,Planned,DAL-B requirement
SYS-REQ-2499009-001,FR-24-99-009-001,2499009,key_management,Function_1,ATA-24-99-00-SWDOC-009_DESIGN_DESCRIPTION.md,ATA-24-99-00-SW-009_key_management.c,TEST-009-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2499009-002,FR-24-99-009-002,2499009,key_management,Function_2,ATA-24-99-00-SWDOC-009_DESIGN_DESCRIPTION.md,ATA-24-99-00-SW-009_key_management.c,TEST-009-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2499009-003,FR-24-99-009-003,2499009,key_management,Function_3,ATA-24-99-00-SWDOC-009_DESIGN_DESCRIPTION.md,ATA-24-99-00-SW-009_key_management.c,TEST-009-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2499010-001,FR-24-99-010-001,2499010,hil_orchestrator,Function_1,ATA-24-99-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-99-00-SW-010_hil_orchestrator.py,TEST-010-001,Review,Planned,DAL-N/A requirement
